date,dayOfWeek,dayOfWeekNumber,minutesAsleep
3/1/2017,Wednesday,4,423
3/2/2017,Thursday,5,442
3/3/2017,Friday,6,385
5/15/2017,Monday,2,369
5/16/2017,Tuesday,3,368
5/17/2017,Wednesday,4,389
5/18/2017,Thursday,5,440
5/19/2017,Friday,6,365
5/20/2017,Saturday,7,741
5/21/2017,Sunday,1,519
5/22/2017,Monday,2,391
5/23/2017,Tuesday,3,421
5/24/2017,Wednesday,4,407
5/25/2017,Thursday,5,410
5/26/2017,Friday,6,457
5/27/2017,Saturday,7,459
5/28/2017,Sunday,1,654
6/22/2017,Thursday,5,606
6/23/2017,Friday,6,395
6/24/2017,Saturday,7,342
6/25/2017,Sunday,1,504
6/26/2017,Monday,2,568
6/27/2017,Tuesday,3,342
6/28/2017,Wednesday,4,237
7/6/2017,Thursday,5,694
7/7/2017,Friday,6,562
7/8/2017,Saturday,7,554
7/9/2017,Sunday,1,596
7/10/2017,Monday,2,454
7/11/2017,Tuesday,3,498
7/13/2017,Thursday,5,814
7/14/2017,Friday,6,515
7/17/2017,Monday,2,381
7/18/2017,Tuesday,3,253
7/19/2017,Wednesday,4,440
7/20/2017,Thursday,5,594
7/21/2017,Friday,6,441
7/22/2017,Saturday,7,530
7/23/2017,Sunday,1,666
8/4/2017,Friday,6,573
8/5/2017,Saturday,7,607
8/6/2017,Sunday,1,363
8/7/2017,Monday,2,346
8/8/2017,Tuesday,3,385
8/9/2017,Wednesday,4,512
8/10/2017,Thursday,5,418
8/11/2017,Friday,6,472
8/12/2017,Saturday,7,427
8/14/2017,Monday,2,476
8/15/2017,Tuesday,3,366
8/16/2017,Wednesday,4,555
8/17/2017,Thursday,5,462
8/18/2017,Friday,6,387
8/19/2017,Saturday,7,361
8/20/2017,Sunday,1,540
8/21/2017,Monday,2,387
10/29/2017,Sunday,1,609
10/30/2017,Monday,2,462
10/31/2017,Tuesday,3,269
11/1/2017,Wednesday,4,370
11/2/2017,Thursday,5,299
11/3/2017,Friday,6,392
11/4/2017,Saturday,7,404
11/5/2017,Sunday,1,565
12/13/2017,Wednesday,4,467
12/14/2017,Thursday,5,403
12/15/2017,Friday,6,387
12/16/2017,Saturday,7,379
12/17/2017,Sunday,1,547
12/18/2017,Monday,2,87
12/18/2017,Monday,2,227
12/19/2017,Tuesday,3,107
12/20/2017,Wednesday,4,219
12/22/2017,Friday,6,399
12/23/2017,Saturday,7,397
12/24/2017,Sunday,1,591
12/26/2017,Tuesday,3,523
12/27/2017,Wednesday,4,443
12/28/2017,Thursday,5,80
3/29/2018,Thursday,5,318
3/30/2018,Friday,6,283
3/31/2018,Saturday,7,542
4/1/2018,Sunday,1,662
4/2/2018,Monday,2,551
4/3/2018,Tuesday,3,473
4/4/2018,Wednesday,4,606
4/5/2018,Thursday,5,366
4/6/2018,Friday,6,615
4/9/2018,Monday,2,394
4/10/2018,Tuesday,3,404
4/11/2018,Wednesday,4,373
4/12/2018,Thursday,5,385
4/13/2018,Friday,6,353
4/14/2018,Saturday,7,396
4/15/2018,Sunday,1,555
4/16/2018,Monday,2,390
4/17/2018,Tuesday,3,357
5/19/2018,Saturday,7,718
5/20/2018,Sunday,1,573
5/21/2018,Monday,2,418
5/22/2018,Tuesday,3,408
5/23/2018,Wednesday,4,395
5/24/2018,Thursday,5,396
5/25/2018,Friday,6,416
5/27/2018,Sunday,1,548
5/28/2018,Monday,2,501
