date,dayOfWeek,dayOfWeekNumber,minutesAsleep
4/12/2015,Sunday,1,469
4/13/2015,Monday,2,347
4/15/2015,Wednesday,4,251
4/16/2015,Thursday,5,262
4/17/2015,Friday,6,362
4/18/2015,Saturday,7,289
4/19/2015,Sunday,1,530
4/20/2015,Monday,2,278
4/21/2015,Tuesday,3,407
4/22/2015,Wednesday,4,359
4/23/2015,Thursday,5,390
4/25/2015,Saturday,7,351
4/26/2015,Sunday,1,382
4/27/2015,Monday,2,371
4/28/2015,Tuesday,3,369
4/30/2015,Thursday,5,413
5/1/2015,Friday,6,346
5/2/2015,Saturday,7,447
5/3/2015,Sunday,1,396
5/5/2015,Tuesday,3,370
5/6/2015,Wednesday,4,319
5/7/2015,Thursday,5,375
5/8/2015,Friday,6,333
5/10/2015,Sunday,1,436
5/12/2015,Tuesday,3,174
5/14/2015,Thursday,5,284
5/15/2015,Friday,6,267
5/17/2015,Sunday,1,618
5/18/2015,Monday,2,309
5/19/2015,Tuesday,3,339
5/20/2015,Wednesday,4,357
5/21/2015,Thursday,5,310
5/22/2015,Friday,6,331
5/24/2015,Sunday,1,418
5/25/2015,Monday,2,427
5/26/2015,Tuesday,3,326
5/27/2015,Wednesday,4,305
5/30/2015,Saturday,7,358
6/1/2015,Monday,2,265
6/2/2015,Tuesday,3,334
6/4/2015,Thursday,5,342
6/5/2015,Friday,6,321
6/6/2015,Saturday,7,337
6/7/2015,Sunday,1,492
6/8/2015,Monday,2,365
6/10/2015,Wednesday,4,324
6/11/2015,Thursday,5,410
6/11/2015,Thursday,5,449
6/12/2015,Friday,6,350
6/13/2015,Saturday,7,452
6/14/2015,Sunday,1,603
6/15/2015,Monday,2,357
6/16/2015,Tuesday,3,396
6/17/2015,Wednesday,4,346
6/18/2015,Thursday,5,365
6/20/2015,Saturday,7,390
6/21/2015,Sunday,1,458
6/22/2015,Monday,2,333
6/23/2015,Tuesday,3,373
6/24/2015,Wednesday,4,372
6/25/2015,Thursday,5,409
6/26/2015,Friday,6,373
6/27/2015,Saturday,7,346
6/28/2015,Sunday,1,476
6/30/2015,Tuesday,3,374
7/1/2015,Wednesday,4,380
7/3/2015,Friday,6,370
7/5/2015,Sunday,1,326
7/6/2015,Monday,2,327
7/7/2015,Tuesday,3,328
7/8/2015,Wednesday,4,324
7/10/2015,Friday,6,352
7/13/2015,Monday,2,381
7/14/2015,Tuesday,3,341
7/16/2015,Thursday,5,348
7/17/2015,Friday,6,301
7/19/2015,Sunday,1,405
7/20/2015,Monday,2,381
