date,dayOfWeek,dayOfWeekNumber,steps
5/25/2015,Monday,2,6983
5/26/2015,Tuesday,3,7443
5/27/2015,Wednesday,4,4897
5/28/2015,Thursday,5,5615
5/29/2015,Friday,6,7911
5/30/2015,Saturday,7,10241
5/31/2015,Sunday,1,9740
6/1/2015,Monday,2,8882
6/2/2015,Tuesday,3,6048
6/3/2015,Wednesday,4,14786
6/4/2015,Thursday,5,10535
6/5/2015,Friday,6,9223
6/6/2015,Saturday,7,11752
6/7/2015,Sunday,1,4854
6/8/2015,Monday,2,8987
6/9/2015,Tuesday,3,10338
6/10/2015,Wednesday,4,5639
6/11/2015,Thursday,5,4915
6/12/2015,Friday,6,5502
6/13/2015,Saturday,7,3362
6/14/2015,Sunday,1,3744
6/15/2015,Monday,2,9311
6/16/2015,Tuesday,3,3905
6/17/2015,Wednesday,4,3810
6/18/2015,Thursday,5,8490
6/19/2015,Friday,6,4992
6/20/2015,Saturday,7,7031
6/21/2015,Sunday,1,4179
6/22/2015,Monday,2,6499
6/23/2015,Tuesday,3,4443
6/24/2015,Wednesday,4,7008
6/25/2015,Thursday,5,5797
6/26/2015,Friday,6,4743
6/27/2015,Saturday,7,8822
6/28/2015,Sunday,1,3937
6/29/2015,Monday,2,6455
6/30/2015,Tuesday,3,13716
7/1/2015,Wednesday,4,5974
7/2/2015,Thursday,5,11215
7/3/2015,Friday,6,5725
7/4/2015,Saturday,7,10008
7/5/2015,Sunday,1,6007
7/6/2015,Monday,2,6887
7/7/2015,Tuesday,3,5593
7/8/2015,Wednesday,4,6069
7/9/2015,Thursday,5,10928
7/10/2015,Friday,6,7917
7/11/2015,Saturday,7,9397
7/12/2015,Sunday,1,5168
7/13/2015,Monday,2,8123
7/14/2015,Tuesday,3,7204
7/15/2015,Wednesday,4,9667
7/16/2015,Thursday,5,5285
7/17/2015,Friday,6,6745
7/18/2015,Saturday,7,8927
7/19/2015,Sunday,1,7721
7/20/2015,Monday,2,3819
7/21/2015,Tuesday,3,6666
7/22/2015,Wednesday,4,6511
7/23/2015,Thursday,5,8729
7/24/2015,Friday,6,5661
7/25/2015,Saturday,7,5570
7/26/2015,Sunday,1,7253
7/27/2015,Monday,2,5915
