date,dayOfWeek,dayOfWeekNumber,steps
12/16/2014,Tuesday,3,8265
12/17/2014,Wednesday,4,6049
12/18/2014,Thursday,5,10550
12/19/2014,Friday,6,11163
12/20/2014,Saturday,7,9753
12/21/2014,Sunday,1,9143
12/22/2014,Monday,2,5537
12/23/2014,Tuesday,3,5173
12/24/2014,Wednesday,4,9780
12/25/2014,Thursday,5,5781
12/26/2014,Friday,6,7899
12/27/2014,Saturday,7,5191
12/28/2014,Sunday,1,9675
12/29/2014,Monday,2,9884
12/30/2014,Tuesday,3,4365
12/31/2014,Wednesday,4,6469
1/1/2015,Thursday,5,2900
1/2/2015,Friday,6,5540
1/3/2015,Saturday,7,4769
1/4/2015,Sunday,1,2277
1/5/2015,Monday,2,7942
1/6/2015,Tuesday,3,7051
1/7/2015,Wednesday,4,6032
1/8/2015,Thursday,5,8228
1/9/2015,Friday,6,8535
1/10/2015,Saturday,7,2384
1/11/2015,Sunday,1,3008
1/12/2015,Monday,2,7276
1/13/2015,Tuesday,3,1831
1/14/2015,Wednesday,4,6935
1/15/2015,Thursday,5,9819
1/16/2015,Friday,6,9843
1/17/2015,Saturday,7,4723
1/18/2015,Sunday,1,7484
1/19/2015,Monday,2,8436
1/20/2015,Tuesday,3,8890
1/21/2015,Wednesday,4,8022
1/22/2015,Thursday,5,6821
1/23/2015,Friday,6,9874
1/24/2015,Saturday,7,5322
1/25/2015,Sunday,1,2763
1/26/2015,Monday,2,8676
1/27/2015,Tuesday,3,10090
1/28/2015,Wednesday,4,9257
1/29/2015,Thursday,5,6614
1/30/2015,Friday,6,9840
1/31/2015,Saturday,7,11901
2/1/2015,Sunday,1,3145
2/2/2015,Monday,2,8426
2/3/2015,Tuesday,3,8640
2/4/2015,Wednesday,4,6880
2/5/2015,Thursday,5,7045
2/6/2015,Friday,6,9801
2/7/2015,Saturday,7,1826
2/8/2015,Sunday,1,3422
2/9/2015,Monday,2,2310
2/10/2015,Tuesday,3,4692
2/11/2015,Wednesday,4,5270
2/12/2015,Thursday,5,8893
2/13/2015,Friday,6,14344
2/14/2015,Saturday,7,10330
2/15/2015,Sunday,1,7665
2/16/2015,Monday,2,5939
2/17/2015,Tuesday,3,8393
2/18/2015,Wednesday,4,8757
2/19/2015,Thursday,5,7151
2/20/2015,Friday,6,9407
2/21/2015,Saturday,7,4610
2/22/2015,Sunday,1,5891
2/23/2015,Monday,2,9137
2/24/2015,Tuesday,3,9785
2/25/2015,Wednesday,4,8551
2/26/2015,Thursday,5,7231
2/27/2015,Friday,6,10912
2/28/2015,Saturday,7,3976
3/1/2015,Sunday,1,1512
3/2/2015,Monday,2,9031
3/3/2015,Tuesday,3,10872
3/4/2015,Wednesday,4,9214
3/5/2015,Thursday,5,7254
3/6/2015,Friday,6,13540
3/7/2015,Saturday,7,5996
3/8/2015,Sunday,1,1073
3/9/2015,Monday,2,6493
3/10/2015,Tuesday,3,8837
3/11/2015,Wednesday,4,13551
3/12/2015,Thursday,5,6383
3/13/2015,Friday,6,11220
3/14/2015,Saturday,7,9669
3/15/2015,Sunday,1,3511
3/16/2015,Monday,2,8820
3/17/2015,Tuesday,3,9192
3/18/2015,Wednesday,4,6764
3/19/2015,Thursday,5,5810
3/20/2015,Friday,6,10345
3/21/2015,Saturday,7,6070
3/22/2015,Sunday,1,3523
3/23/2015,Monday,2,7865
3/24/2015,Tuesday,3,11955
3/25/2015,Wednesday,4,10592
3/26/2015,Thursday,5,1591
3/27/2015,Friday,6,3533
3/28/2015,Saturday,7,2508
3/29/2015,Sunday,1,6678
3/30/2015,Monday,2,3643
3/31/2015,Tuesday,3,4159
4/1/2015,Wednesday,4,4958
4/2/2015,Thursday,5,4805
4/3/2015,Friday,6,3025
4/4/2015,Saturday,7,3717
4/5/2015,Sunday,1,3901
4/6/2015,Monday,2,7264
4/7/2015,Tuesday,3,8943
4/8/2015,Wednesday,4,7871
4/9/2015,Thursday,5,5605
4/10/2015,Friday,6,9879
4/11/2015,Saturday,7,2519
4/12/2015,Sunday,1,3248
4/13/2015,Monday,2,8727
4/14/2015,Tuesday,3,8848
4/15/2015,Wednesday,4,10547
4/16/2015,Thursday,5,6658
4/17/2015,Friday,6,9384
4/18/2015,Saturday,7,8184
4/19/2015,Sunday,1,2387
4/20/2015,Monday,2,8601
4/21/2015,Tuesday,3,7843
4/22/2015,Wednesday,4,11758
4/23/2015,Thursday,5,6705
4/24/2015,Friday,6,8267
4/25/2015,Saturday,7,4637
